,state,2010
0,California,365352
1,Alabama,18172
2,Alaska,18024
3,Arizona,61279
4,Arkansas,17820
5,Colorado,52473
6,Connecticut,18756
7,Delaware,5081
8,District of Columbia,12435
9,Florida,168035
10,Georgia,73659
11,Hawaii,22237
12,Idaho,15403
13,Illinois,94390
14,Kentucky,17199
15,Indiana,33381
16,Iowa,21943
17,Kansas,16518
18,Louisiana,39174
19,Maine,9653
20,Maryland,30924
21,Massachusetts,44034
22,Michigan,43342
23,Minnesota,41279
24,Mississippi,14441
25,Missouri,32552
26,Montana,9636
27,Nebraska,10771
28,Nevada,23578
29,New Hampshire,7344
30,New Jersey,77653
31,New Mexico,13350
32,New York,161522
33,North Carolina,48188
34,North Dakota,5983
35,Ohio,48669
36,Oklahoma,22890
37,Oregon,53458
38,Pennsylvania,69723
39,Rhode Island,7395
40,South Carolina,32629
41,South Dakota,6839
42,Tennessee,27381
43,Texas,205468
44,Utah,21496
45,Vermont,4325
46,Virginia,55664
47,Washington,65937
48,West Virginia,7597
49,Wisconsin,46463
50,Wyoming,5713
51,Puerto Rico,22266
