,state,2011
0,Alabama,194044
1,Alaska,43244
2,Arizona,308658
3,Arkansas,125188
4,California,1780802
5,Colorado,241770
6,Connecticut,148783
7,Delaware,36871
8,District of Columbia,19792
9,Florida,791693
10,Georgia,438045
11,Hawaii,92436
12,Idaho,66108
13,Illinois,513689
14,Indiana,254647
15,Iowa,134813
16,Kansas,138640
17,Kentucky,171579
18,Louisiana,197402
19,Maine,62249
20,Maryland,288690
21,Massachusetts,263193
22,Michigan,368327
23,Minnesota,249855
24,Mississippi,123660
25,Missouri,263107
26,Montana,48941
27,Nebraska,87024
28,Nevada,132460
29,New Hampshire,57884
30,New Jersey,344286
31,New Mexico,86387
32,New York,588090
33,North Carolina,415821
34,North Dakota,35122
35,Ohio,418378
36,Oklahoma,180635
37,Oregon,171310
38,Pennsylvania,519843
39,Rhode Island,42984
40,South Carolina,182292
41,South Dakota,40838
42,Tennessee,258280
43,Texas,1252849
44,Utah,150189
45,Vermont,31532
46,Virginia,355426
47,Washington,315066
48,West Virginia,76693
49,Wisconsin,246896
50,Wyoming,31067
51,Puerto Rico,93373
