,state,2013
0,Alabama,9592
1,Alaska,6589
2,Arizona,64986
3,Arkansas,5803
4,California,889921
5,Colorado,86249
6,Connecticut,89137
7,Delaware,14919
8,District of Columbia,127045
9,Florida,175495
10,Georgia,89057
11,Hawaii,41171
12,Idaho,4840
13,Illinois,545633
14,Indiana,35244
15,Iowa,16983
16,Kansas,7063
17,Kentucky,19626
18,Louisiana,26568
19,Maine,4314
20,Maryland,268560
21,Massachusetts,328845
22,Michigan,65409
23,Minnesota,99296
24,Mississippi,5269
25,Missouri,44846
26,Montana,3249
27,Nebraska,7533
28,Nevada,41958
29,New Hampshire,6798
30,New Jersey,463204
31,New Mexico,9482
32,New York,2521815
33,North Carolina,49130
34,North Dakota,1680
35,Ohio,88393
36,Oklahoma,9039
37,Oregon,74883
38,Pennsylvania,327421
39,Rhode Island,13420
40,South Carolina,14559
41,South Dakota,1256
42,Tennessee,21201
43,Texas,187969
44,Utah,30355
45,Vermont,3749
46,Virginia,176996
47,Washington,201096
48,West Virginia,5176
49,Wisconsin,55882
50,Wyoming,4455
51,Puerto Rico,25706
