,state,2013
0,Alabama,1983610
1,Alaska,357776
2,Arizona,2754451
3,Arkansas,1223214
4,California,16745843
5,Colorado,2577184
6,Connecticut,1736156
7,Delaware,423542
8,District of Columbia,330087
9,Florida,8353263
10,Georgia,4291263
11,Hawaii,672446
12,Idaho,696905
13,Illinois,5973263
14,Indiana,2974599
15,Iowa,1547508
16,Kansas,1389013
17,Kentucky,1866676
18,Louisiana,1984437
19,Maine,629171
20,Maryland,2946590
21,Massachusetts,3326313
22,Michigan,4274964
23,Minnesota,2773626
24,Mississippi,1181081
25,Missouri,2773780
26,Montana,475287
27,Nebraska,954452
28,Nevada,1246513
29,New Hampshire,677618
30,New Jersey,4166286
31,New Mexico,865357
32,New York,9024559
33,North Carolina,4348669
34,North Dakota,387697
35,Ohio,5241598
36,Oklahoma,1703568
37,Oregon,1745718
38,Pennsylvania,5867765
39,Rhode Island,505361
40,South Carolina,2064944
41,South Dakota,427117
42,Tennessee,2837090
43,Texas,11939372
44,Utah,1307408
45,Vermont,314505
46,Virginia,4018400
47,Washington,3204510
48,West Virginia,738848
49,Wisconsin,2822070
50,Wyoming,290906
51,Puerto Rico,1026188
