,state,2016
0,Florida,137204
1,Georgia,72701
2,Hawaii,33401
3,Idaho,19709
4,Illinois,184968
5,Indiana,66298
6,Iowa,54449
7,Kansas,35041
8,Kentucky,41353
9,Louisiana,33167
10,Maine,25820
11,Maryland,74847
12,Massachusetts,168580
13,Michigan,94131
14,Minnesota,75145
15,Mississippi,16760
16,Missouri,52536
17,Montana,28169
18,Nebraska,23977
19,Nevada,22751
20,New Hampshire,22011
21,New Jersey,123553
22,New Mexico,19839
23,New York,577983
24,North Carolina,79649
25,North Dakota,11933
26,Ohio,127034
27,Oklahoma,29496
28,Oregon,68682
29,Pennsylvania,218035
30,Rhode Island,18445
31,South Carolina,46566
32,South Dakota,16482
33,Tennessee,39448
34,Texas,201154
35,Utah,39435
36,Vermont,18885
37,Virginia,108451
38,Washington,129410
39,West Virginia,23035
40,Wisconsin,88382
41,Wyoming,13105
42,Puerto Rico,31596
43,Alabama,23875
44,Alaska,27628
45,Arizona,54823
46,Arkansas,25456
47,California,481638
48,Colorado,84470
49,Connecticut,48896
50,Delaware,8167
51,District of Columbia,49514
