,state,2017
0,Alabama,1748949
1,Alaska,243466
2,Arizona,2362162
3,Arkansas,1068253
4,California,13541563
5,Colorado,2161670
6,Connecticut,1391813
7,Delaware,353445
8,District of Columbia,129051
9,Florida,7423934
10,Georgia,3765494
11,Hawaii,475638
12,Idaho,612010
13,Illinois,4476740
14,Indiana,2577077
15,Iowa,1300546
16,Kansas,1179785
17,Kentucky,1597996
18,Louisiana,1657080
19,Maine,516861
20,Maryland,2257654
21,Massachusetts,2469684
22,Michigan,3760333
23,Minnesota,2269447
24,Mississippi,1038393
25,Missouri,2367511
26,Montana,388996
27,Nebraska,814254
28,Nevada,1101151
29,New Hampshire,576670
30,New Jersey,3129181
31,New Mexico,688146
32,New York,5007277
33,North Carolina,3876587
34,North Dakota,330690
35,Ohio,4564251
36,Oklahoma,1435851
37,Oregon,1399966
38,Pennsylvania,4614474
39,Rhode Island,414455
40,South Carolina,1849628
41,South Dakota,354488
42,Tennessee,2562137
43,Texas,10516631
44,Utah,1131247
45,Vermont,238797
46,Virginia,3246194
47,Washington,2558090
48,West Virginia,589312
49,Wisconsin,2384007
50,Wyoming,217568
51,Puerto Rico,820782
