,state,2019
0,Mississippi,38426
1,Missouri,147564
2,Montana,33592
3,Nebraska,46436
4,Nevada,71251
5,New Hampshire,53022
6,New Jersey,217410
7,New Mexico,46093
8,New York,452559
9,North Carolina,331256
10,North Dakota,14593
11,Ohio,256463
12,Oklahoma,78947
13,Oregon,146587
14,Pennsylvania,333528
15,Rhode Island,24228
16,South Carolina,120845
17,South Dakota,27394
18,Tennessee,179262
19,Texas,783512
20,Vermont,22809
21,Utah,117657
22,Virginia,247137
23,Washington,242446
24,West Virginia,28665
25,Wisconsin,150833
26,Wyoming,16007
27,Puerto Rico,24892
28,Illinois,336647
29,Georgia,344309
30,Idaho,61935
31,Hawaii,33488
32,Indiana,139069
33,Iowa,91511
34,Kansas,74108
35,Kentucky,84882
36,Louisiana,79673
37,Maine,42015
38,Maryland,169488
39,Massachusetts,197999
40,Michigan,210233
41,Minnesota,190795
42,Connecticut,100192
43,Florida,688324
44,Alabama,72440
45,Alaska,15141
46,Arizona,248326
47,Arkansas,46196
48,California,1188387
49,Colorado,274765
50,Delaware,23953
51,District of Columbia,28402
