,   Motor vehicles and parts,   Transportation services,All Transporation,Worked fm Home,Drove,Carpooled,Walked,Public Transportation,Taxi and Bikes
2009,32507.3,42617.3,16145601,832146,11782282,1873082,447411,839255,371425
2010,34239.2,43854.9,15921475,824305,11650145,1831538,429786,820349,365352
2011,37141.5,47082.8,16047067,857352,11754858,1780802,445440,827736,380879
2012,41535.6,50044.7,16432358,865162,12059924,1821450,441486,851099,393237
2013,44008.7,53091.1,16745843,877833,12260080,1825475,457693,889921,434841
2014,46656.1,56246.4,17254926,930975,12679198,1813154,467779,914442,449378
2015,51163.5,58530.8,17633846,970039,13031320,1770281,474323,923600,464283
2016,53090.0,63183.2,17926224,1044550,13186177,1846542,481638,910353,456964
2017,55753.6,67909.3,18320629,1092887,13541563,1837270,473375,919579,455955
2018,56674.1,73337.5,18530052,1111955,13681331,1854318,489073,914825,478550
2019,55382.1,78058.5,18730251,1188387,13767903,1841273,479751,970901,482036
